"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.113503745505988,4.80639544432051,0.272214687429368,0.789544778061099,41,28,59,TRUE,"Trait matching (Q4)"
-0.0337375176727844,2.84716133726761,3.40756713994779,0.199122425355017,48,46,86,TRUE,"Trait matching (Q1)"
-0.113696711678346,2.09271996631287,1.23907426721416,0.077932683355175,12,12,21,TRUE,"Trait matching (Q1)"
-0.0486638880074013,0.790941417217255,0.981653600465506,0.31438104857225,11,26,37,TRUE,"Trait matching (Q2)"
-0.0790828062717653,0.636893344344571,4.60647432366386,0.535165969457012,29,11,33,TRUE,"Trait matching (Q3)"
-0.021037242387983,1.71557419700548,2.68336063600145,0.263755165517796,26,46,70,TRUE,"Trait matching (Q1)"
-0.0714979455032878,1.5778225637041,2.26501591736451,0.589298781100661,24,28,52,TRUE,"Trait matching (Q3)"
-0.0592858599034658,0.404753701295704,0.803668112494051,0.0850423076772131,36,45,78,TRUE,"Trait matching (Q1)"
-0.0432574266610396,4.70753025496379,4.50545748695731,0.312146298005246,24,25,46,TRUE,"Trait matching (Q2)"
-0.0617490515880485,0.928696728078648,0.999232326867059,0.582004730403423,40,32,62,TRUE,"Trait matching (Q3)"
-0.0522166008365336,0.322989161359146,2.0729724818375,0.10646468148334,12,31,43,TRUE,"Trait matching (Q1)"
-0.15308828456242,0.0731044332496822,0.0135347165632993,0.146746560849715,49,19,50,TRUE,"Trait matching (Q1)"
-0.0586963722481873,2.57745168055408,4.34939447441138,0.180152400222141,14,28,41,TRUE,"Trait matching (Q1)"
-0.1563347766537,1.57643865677528,1.0301548440475,0.778455533401575,29,14,32,TRUE,"Trait matching (Q4)"
-0.0300199406099123,2.95839380356483,0.633905782597139,0.105743612721562,13,11,21,TRUE,"Trait matching (Q1)"
-0.0495769923529291,4.05567928566597,4.97999014449306,0.578745480091311,41,49,89,TRUE,"Trait matching (Q3)"
-0.115177256314904,4.59397781756707,3.30247814184986,0.196695667156018,50,32,67,TRUE,"Trait matching (Q1)"
-0.0736028573082449,3.14929221058264,4.93521838798188,0.217608982848469,30,23,47,TRUE,"Trait matching (Q1)"
-0.0867042146674628,1.933945879573,3.03778607281856,0.485373609699309,45,21,52,TRUE,"Trait matching (Q2)"
-0.0863609510440877,1.56849677907303,0.371019211597741,0.719251189869829,48,37,78,TRUE,"Trait matching (Q3)"
-0.121764444134062,3.4273323288653,3.08185828733258,0.969587697566021,41,20,47,TRUE,"Trait matching (Q4)"
-0.123441375284186,4.67014273395762,4.39819610095583,0.183379369531758,40,10,43,TRUE,"Trait matching (Q1)"
-0.148448956054915,4.33757103513926,4.41517866100185,0.604432546743192,46,21,49,TRUE,"Trait matching (Q3)"
-0.139686635745446,4.03109403792769,4.60398378083482,0.646135908551514,49,22,54,TRUE,"Trait matching (Q3)"
-0.0663188447870538,1.04149482096545,1.63046890636906,0.718114211258944,39,49,88,TRUE,"Trait matching (Q3)"
-0.140001681345411,1.63765869569033,4.72702165599912,0.366937148582656,46,15,47,TRUE,"Trait matching (Q2)"
-0.0546485315326375,1.20064634596929,3.54989902116358,0.481623288150877,39,47,86,TRUE,"Trait matching (Q2)"
-0.0640750522037013,2.86142754601315,4.49563210015185,0.153961387136951,44,22,59,TRUE,"Trait matching (Q1)"
-0.109539906093325,1.94978669518605,1.8874114297796,0.0555840319255367,49,20,57,TRUE,"Trait matching (Q1)"
-0.0746102892792476,2.17760057421401,3.8881221273914,0.724106948683038,41,42,83,TRUE,"Trait matching (Q3)"
-0.089281550510692,3.21268483996391,1.83474864577875,0.698318916058633,35,31,63,TRUE,"Trait matching (Q3)"
-0.0995455590018505,4.1876619507093,1.95678111398593,0.941054056445137,50,41,85,TRUE,"Trait matching (Q4)"
-0.116223815941221,0.726911983219907,0.420894124545157,0.516167810175102,43,33,66,TRUE,"Trait matching (Q2)"
-0.156293023128463,3.19286426878534,4.89332329598255,0.984555452596396,32,19,39,TRUE,"Trait matching (Q4)"
-0.0414133779592027,4.74902728805318,3.05483820149675,0.0866171044763178,37,35,65,TRUE,"Trait matching (Q1)"
-0.11915446920852,0.138468760997057,4.06695202109404,0.271378010953777,48,12,51,TRUE,"Trait matching (Q1)"
-0.125180341003915,0.667595384875312,0.552314134547487,0.0899399557267316,41,19,47,TRUE,"Trait matching (Q1)"
-0.0634950495900574,3.50261499872431,1.2677079543937,0.927211714489385,42,43,84,TRUE,"Trait matching (Q4)"
-0.0735072059132667,1.24851495027542,4.05889416229911,0.514940861787181,41,19,50,TRUE,"Trait matching (Q2)"
-0.104784291471211,2.41387029411271,2.18294938676991,0.577696205838583,50,27,55,TRUE,"Trait matching (Q3)"
-0.012686107898627,4.02490310952999,4.33221652754582,0.680017244571354,11,33,44,TRUE,"Trait matching (Q3)"
-0.0449680788905715,0.737724043428898,3.96301740664057,0.595542539632879,11,16,27,TRUE,"Trait matching (Q3)"
-0.0382985188719054,3.88174543622881,1.10325287445448,0.281839193112683,30,44,74,TRUE,"Trait matching (Q1)"
-0.0358157212053727,3.5986635251902,1.03330932906829,0.512626733526122,14,21,35,TRUE,"Trait matching (Q2)"
-0.0307249263974849,4.35146023519337,0.937502715969458,0.358687044226099,12,40,52,TRUE,"Trait matching (Q2)"
-0.131270920596076,3.29697609064169,0.350382634205744,0.984818186552729,21,12,24,TRUE,"Trait matching (Q4)"
-0.136112182002252,3.23457455146126,3.10917264665477,0.590692931204103,46,30,70,TRUE,"Trait matching (Q3)"
-0.085099885642982,1.18446712498553,3.44284708029591,0.331498772383202,40,24,52,TRUE,"Trait matching (Q2)"
